10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;;;;;;;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
26386900;9278500;9533200;8561200;9734900;9372900;9848000;8507500;9171300;9032100;;;;;;;10133789;9648368;9771718;9686200;9878020;9652665;10078053;9855450;10402971;10077052
8745100;9228700;10531100;8978300;8982100;8726300;9280600;8884700;9351000;9149000;;;;;;;;;;;;;;;;
8735000;9175200;12609800;9760200;10241200;8379500;9258900;8045000;10643200;8180300;;;;;;;;;;;;;;;;
9036400;9520700;8471800;8066100;9867100;8883000;9037100;9925800;9337000;8133100;;;;;;;;;;;;;;;;
8381200;8656600;8710600;8664000;8649900;8438300;10371400;9127400;11776600;8442200;;;;;;;;;;;;;;;;
10468100;8734500;10417700;9118200;9098500;8980900;9073900;9205200;9248400;9089400;;;;;;;;;;;;;;;;
11561200;8402600;9198800;8917600;8108900;8684100;8898400;10579600;8729400;10142300;;;;;;;;;;;;;;;;
8531900;9090700;9510500;9036600;9260400;8824100;9575800;8933900;8565000;9719300;;;;;;;;;;;;;;;;
9454900;8854500;8470400;8848300;8815300;8887700;8790700;8969100;9100700;9202700;;;;;;;;;;;;;;;;
9134600;10188400;9203500;8885400;9504000;8444800;10129600;9253400;11629300;10052700;;;;;;;;;;;;;;;;
9341800;8891700;8332500;9635800;8205700;9843600;8891100;9938100;9587900;8418700;;;;;;;;;;;;;;;;
8891300;9490000;9663200;8683400;9676700;8820300;9953700;9953500;10059800;7989800;;;;;;;;;;;;;;;;
9900700;9103000;8565700;9560500;9307600;9612100;10010900;9371800;9522200;9205400;;;;;;;;;;;;;;;;
8731000;8931300;9483100;8891700;9463900;8932100;8615500;9474600;9972100;8649000;;;;;;;;;;;;;;;;
8927200;10553500;8709900;9043000;10748500;8789000;10443500;9156600;9714900;9319200;;;;;;;;;;;;;;;;
9757800;10182000;11017500;9195100;9029700;8188000;8701400;9212700;8893800;8438200;;;;;;;;;;;;;;;;
10457700;8752300;9685900;10246000;9319100;8373600;8614000;9734800;9769800;8759600;;;;;;;;;;;;;;;;
9427800;8394300;8719400;9000200;8807700;8805200;8915500;8430800;8650500;8510600;;;;;;;;;;;;;;;;
8647700;10324200;8806800;8769300;10132000;7971600;8373800;8332100;8431000;9867200;;;;;;;;;;;;;;;;
9095200;9350300;10361300;8452900;8169200;8556500;8195000;9395400;9300800;8346500;;;;;;;;;;;;;;;;
